"id","decisionnum","deckl","deckr","pair","deckchoice","effort_type","prog_type","effchoice","progchoice"
"A11YS0T8MV3Q7C",25,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A11YS0T8MV3Q7C",26,"deck5","deck3","3-5",82,"MH","Prog_NoProg",1,0
"A11YS0T8MV3Q7C",27,"deck3","deck6","3-6",82,"HH","NoProg_Prog",NA,1
"A11YS0T8MV3Q7C",28,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A11YS0T8MV3Q7C",29,"deck2","deck4","2-4",82,"LM","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",30,"deck3","deck4","3-4",76,"LH","Prog_NoProg",1,0
"A11YS0T8MV3Q7C",31,"deck2","deck3","2-3",82,"MH","NoProg_NoProg",1,0
"A11YS0T8MV3Q7C",32,"deck6","deck2","2-6",82,"MH","NoProg_Prog",0,0
"A11YS0T8MV3Q7C",33,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A11YS0T8MV3Q7C",34,"deck4","deck1","1-4",76,"LL","NoProg_Prog",NA,1
"A11YS0T8MV3Q7C",35,"deck6","deck3","3-6",82,"HH","NoProg_Prog",NA,0
"A11YS0T8MV3Q7C",36,"deck6","deck5","5-6",76,"MH","Prog_Prog",1,1
"A11YS0T8MV3Q7C",37,"deck3","deck1","1-3",82,"LH","NoProg_NoProg",0,0
"A11YS0T8MV3Q7C",38,"deck1","deck6","1-6",82,"LH","NoProg_Prog",1,1
"A11YS0T8MV3Q7C",39,"deck3","deck4","3-4",82,"LH","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",40,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",41,"deck5","deck2","2-5",82,"MM","NoProg_Prog",NA,0
"A11YS0T8MV3Q7C",42,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",43,"deck5","deck2","2-5",82,"MM","NoProg_Prog",NA,0
"A11YS0T8MV3Q7C",44,"deck1","deck2","1-2",82,"LM","NoProg_NoProg",1,0
"A11YS0T8MV3Q7C",45,"deck6","deck1","1-6",82,"LH","NoProg_Prog",0,0
"A11YS0T8MV3Q7C",46,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A11YS0T8MV3Q7C",47,"deck5","deck4","4-5",82,"LM","Prog_Prog",0,1
"A11YS0T8MV3Q7C",48,"deck4","deck2","2-4",76,"LM","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",49,"deck1","deck3","1-3",82,"LH","NoProg_NoProg",1,0
"A11YS0T8MV3Q7C",50,"deck4","deck5","4-5",82,"LM","Prog_Prog",1,1
"A11YS0T8MV3Q7C",51,"deck3","deck5","3-5",82,"MH","Prog_NoProg",0,1
"A11YS0T8MV3Q7C",52,"deck6","deck4","4-6",76,"LH","Prog_Prog",1,1
"A11YS0T8MV3Q7C",53,"deck3","deck2","2-3",82,"MH","NoProg_NoProg",0,0
"A11YS0T8MV3Q7C",54,"deck2","deck5","2-5",82,"MM","NoProg_Prog",NA,1
"A11YS0T8MV3Q7C",55,"deck1","deck5","1-5",82,"LM","NoProg_Prog",1,1
